year,taxrt_ccorp,taxrt_scorp,taxrt_soleprop,taxrt_partner,intded_c,intded_nc,gilti_ex,fdii_ex,taxrt_foreign,ccr_sheet,taxrt_int,taxrt_div,taxrt_scg,taxrt_lcg,stepup,sub_slti,sub_sltp
2020,0.21,0.2570619649820209,0.24384019707928475,0.32357777690174216,0.856296877,0.95636772,0.5,0.375,0.15,tcjaA,0.28604279424860696,0.2055595618095828,0.3282001734439623,0.2127415533302538,1,0.008582393442617634,0.015613692011343735
2021,0.21,0.25835067239455906,0.24229999424851298,0.3241748187642468,0.8701159190000001,0.962258635,0.5,0.375,0.15,tcjaA,0.2855008440201082,0.20210833486092084,0.3269795441425347,0.2123702874200377,1,0.008333956130082185,0.015074183478191283
2022,0.21,0.2598640841217729,0.24770260413169054,0.3301061772587675,0.7831483509999999,0.939282699,0.5,0.375,0.15,tcja22,0.2856394915733129,0.20284990227454827,0.3264995884482698,0.2120712225709053,1,0.008270379273469427,0.01496023464328922
2023,0.21,0.2604288068394985,0.25351381678894497,0.3373083974512725,0.800582237,0.9459520020000001,0.5,0.375,0.15,tcja23,0.28616242533323577,0.2042420123693823,0.326439131406605,0.21114901960939844,1,0.008072505431142041,0.014631740209503051
2024,0.21,0.26139194667719035,0.2561458205569743,0.33754618980126566,0.800935279,0.947259555,0.5,0.375,0.15,tcja24,0.28695402958268124,0.2045882324404278,0.3252063617017473,0.21080973462604802,1,0.007627952073012399,0.014032960300575825
2025,0.21,0.2621403395069019,0.2586571166962524,0.3388845307270272,0.784433114,0.944058484,0.5,0.375,0.15,tcja25,0.28848816319802745,0.20561957426217303,0.32485278797502654,0.21090420500300266,1,0.007314138927288908,0.013579272298185844
2026,0.21,0.3063887059474388,0.3064577062377107,0.37299393631250466,0.775912314,0.945540358,0.375,0.21875,0.15,tcja26,0.3045271519094992,0.2198906589934516,0.3410466802862491,0.2152724184329723,1,0.13644997997079822,0.13220365355123528
2027,0.21,0.30691703275579707,0.3087324095709121,0.37400770293816765,0.772056359,0.945095455,0.375,0.21875,0.15,tcjaZ,0.30655572311217505,0.22110774828014237,0.34183891524818794,0.21542699474272578,1,0.13632210925282814,0.13209163781592295
2028,0.21,0.3075651530299039,0.3096831919281114,0.3753105980853751,0.7626633290000001,0.944375188,0.375,0.21875,0.15,tcjaZ,0.3096027280198565,0.22306602946482645,0.34182534199724823,0.21574540161296002,1,0.1360688963640896,0.13175486535136682
2029,0.21,0.307260310271265,0.31323279365460693,0.38157773791896377,0.7626633290000001,0.944375188,0.375,0.21875,0.15,tcjaZ,0.3128193178915723,0.2245306461138112,0.34188377409360077,0.21591914296793502,1,0.13550173760404696,0.13146677758419947
